eid,doi,doi_url,title,source
2-s2.0-84933533905,,,Assessment of movable insulation panels' energy and lighting potential for adaptive façades in architecture,42nd Ases National Solar Conference 2013 Solar 2013 Including 42nd Ases Annual Conference and 38th National Passive Solar Conference
2-s2.0-105025318037,,,Responsive Building Envelopes: Characteristics and Evolving Paradigms,Design and Construction of High Performance Homes Building Envelopes Renewable Energies and Integrated Practice
2-s2.0-84966550363,,,Characterizing thermal performance of buildings using dynamic model identification,Thermal Performance of the Exterior Envelopes of Whole Buildings 12th International Conference
2-s2.0-84933573742,,,Combined solar power production and dynamic shading with energy harvesting electrochromic windows (EH-ECWs),42nd Ases National Solar Conference 2013 Solar 2013 Including 42nd Ases Annual Conference and 38th National Passive Solar Conference
2-s2.0-84912544649,,,Adaptive [skins]-Use of genetic algorithms for actuation system optimization,European Group for Intelligent Computing in Engineering Eg ICE 2013 20th International Workshop Intelligent Computing in Engineering
2-s2.0-85048244442,,,Energy simulation and design of a hot box suitable for dynamic tests of building envelope opaque components,Building Simulation Applications
2-s2.0-84897048301,,,Acoustic optimization of windows and doors through sound intensity measurements,20th International Congress on Sound and Vibration 2013 Icsv 2013
2-s2.0-85048228738,,,"Daylight harvesting: A multivariate regression linear model for predicting the impact on lighting, cooling and heating",Building Simulation Applications
2-s2.0-105025296222,,,North House: Climate-Responsive Envelope and Control Systems,Design and Construction of High Performance Homes Building Envelopes Renewable Energies and Integrated Practice
2-s2.0-84904633574,,,Kinetic architecture matrix,Acadia 2013 Adaptive Architecture Proceedings of the 33rd Annual Conference of the Association for Computer Aided Design in Architecture
2-s2.0-84871549544,,,From static to kinetic: A review of acclimated kinetic building envelopes,World Renewable Energy Forum Wref 2012 Including World Renewable Energy Congress Xii and Colorado Renewable Energy Society Cres Annual Conferen
2-s2.0-84875251530,,,Envelope tesselation with stochastic rotation of 4-fold penttiles,Beyond Codes and Pixels Proceedings of the 17th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2012
2-s2.0-84876527219,,,A visual - Performative language of façade patterns for the connected sustainable home,Simulation Series
2-s2.0-84875265672,,,Responsive architectural surface design from nonlinear systems biology: Responsive architectural design by computational methods,Beyond Codes and Pixels Proceedings of the 17th International Conference on Computer Aided Architectural Design Research in Asia Caadria 2012
2-s2.0-84893266540,,,An integrated automatic wall concreting system,2012 Proceedings of the 29th International Symposium of Automation and Robotics in Construction Isarc 2012
2-s2.0-84862523171,,,Innovative strategies for adaptive buildings in large cities,International Journal for Housing Science and Its Applications
2-s2.0-85127846958,,,Integration of Digital Simulation Tools With Parametric Designs to Evaluate Kinetic Façades for Daylight Performance,Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe
2-s2.0-84865033966,,,The impact of a combined dynamic shading system on the thermal performance of building perimeter zones,ASHRAE Transactions
